update freq: 5
n_processes: 16
display freq: 4000
save freq: 100000
save dir: ./model/mario
using device: cuda:0
Start training
#####save best model#####
Steps: 4000/10000000 | Avg reward: 0.000000
#####save best model#####
#####save best model#####
#####save best model#####
#####save best model#####
#####save best model#####
#####save best model#####
#####save best model#####
Steps: 8000/10000000 | Avg reward: 989.420795
#####save best model#####
Steps: 12000/10000000 | Avg reward: 808.670178
Steps: 16000/10000000 | Avg reward: 716.150165
Steps: 20000/10000000 | Avg reward: 716.150165
Steps: 24000/10000000 | Avg reward: 714.620093
Steps: 28000/10000000 | Avg reward: 717.000171
Steps: 32000/10000000 | Avg reward: 711.390161
#####save best model#####
#####save best model#####
#####save best model#####
#####save best model#####
#####save best model#####
Steps: 36000/10000000 | Avg reward: 1125.703607
Steps: 40000/10000000 | Avg reward: 924.561237
Steps: 44000/10000000 | Avg reward: 717.200171
Steps: 48000/10000000 | Avg reward: 802.301129
Steps: 52000/10000000 | Avg reward: 802.301129
Steps: 56000/10000000 | Avg reward: 802.301129
Steps: 60000/10000000 | Avg reward: 802.301129
Steps: 64000/10000000 | Avg reward: 860.462067
Steps: 68000/10000000 | Avg reward: 991.064886
Steps: 72000/10000000 | Avg reward: 1111.426794
Steps: 76000/10000000 | Avg reward: 1022.445947
Steps: 80000/10000000 | Avg reward: 996.295959
Steps: 84000/10000000 | Avg reward: 996.295959
Steps: 88000/10000000 | Avg reward: 996.295959
Steps: 92000/10000000 | Avg reward: 996.295959
Steps: 96000/10000000 | Avg reward: 1166.095081
Steps: 100000/10000000 | Avg reward: 1036.763861
*****save model*****
#####save best model#####
Steps: 104000/10000000 | Avg reward: 1266.382281
#####save best model#####
Steps: 108000/10000000 | Avg reward: 1335.311951
#####save best model#####
Steps: 112000/10000000 | Avg reward: 1430.313940
Steps: 116000/10000000 | Avg reward: 1430.313940
#####save best model#####
#####save best model#####
Steps: 120000/10000000 | Avg reward: 1644.022223
Steps: 124000/10000000 | Avg reward: 1644.022223
Steps: 128000/10000000 | Avg reward: 1644.022223
Steps: 132000/10000000 | Avg reward: 1644.022223
Steps: 136000/10000000 | Avg reward: 1635.272223
#####save best model#####
Steps: 140000/10000000 | Avg reward: 1654.772760
Steps: 144000/10000000 | Avg reward: 1542.141876
Steps: 148000/10000000 | Avg reward: 1542.141876
Steps: 152000/10000000 | Avg reward: 1542.141876
Steps: 156000/10000000 | Avg reward: 1480.321536
